DatasetName,Target,Pipeline,EvaluationMetric,Time,Size,Website
TagMyBook,rating,"ED,OE,ZS,fea_null,dup_null,out_null,RF",0.527687296,0.329494476,"(1534, 7)",https
customerTargeting,target,"ZS,imp_null,nor_null,fea_null,dup_null,out_null,RF",0.570241692,2.002466679,"(6620, 71)",https
telecom_churn2,Churn,"IQR,ZS,nor_null,fea_null,dup_null,out_null,RF",0.944707741,0.280326128,"(3333, 11)",https
ParisHousingClass,category,"IQR,enc_null,ZS,fea_null,dup_null,out_null,RF",1.0,2.185753822,"(10000, 18)",https
ParisHousingClass99.88,category,"imp_null,enc_null,MM,fea_null,dup_null,out_null,RF",1.0,0.586894274,"(10000, 18)",https
diabetes_data_upload,class,"OE,DS,MM,fea_null,dup_null,out_null,RF",1.0,0.15101552,"(520, 17)",https
Loan Prediction with 3 Problem Statement,Loan_Status,"IQR,OE,ZS,fea_null,dup_null,out_null,NB",0.890410959,0.02498436,"(614, 13)",https
tic-tac-toe-endgame,V10,"OE,LOF,nor_null,fea_null,dup_null,out_null,RF",0.964788732,0.111092806,"(958, 10)",https
Star1,class,"IQR,enc_null,ZS,fea_null,dup_null,out_null,RF",0.977186312,0.199003696,"(1388, 18)",https
Star2,class,"ED,IQR,MM,fea_null,dup_null,out_null,RF",0.971291866,0.662076473,"(5416, 18)",https
Star3,class,"IQR,ZS,nor_null,fea_null,dup_null,out_null,RF",0.976628895,1.219997168,"(7568, 18)",https
airline_passenger_satisfaction3,satisfaction,"OE,ZS,nor_null,fea_null,dup_null,out_null,RF",0.939965695,0.366057158,"(5855, 23)",https
airline_passenger_satisfaction4,satisfaction,"imp_null,OE,ZS,fea_null,dup_null,out_null,RF",0.93255132,0.172996759,"(1708, 23)",https
Airlines1,Delay,"FE,ZS,enc_null,dup_null,enc_null,imp_null,NB",0.825,0.01703763,"(999, 9)",https
Airlines2,Delay,"OE,ZS,enc_null,dup_null,enc_null,imp_null,RF",0.699075231,1.671994925,"(20001, 9)",https
Airlines3,Delay,"FE,ZS,enc_null,dup_null,enc_null,imp_null,LDA",0.628125,0.034630537,"(6001, 9)",https
Bank Customer Churn Prediction1,churn,"OE,ZS,nor_null,fea_null,dup_null,out_null,RF",0.849593496,0.150008678,"(1227, 12)",https
Bank Customer Churn Prediction2,churn,"OE,imp_null,nor_null,fea_null,dup_null,out_null,RF",0.85078534,0.318803787,"(3820, 12)",https
Bank Loan Defaulter Prediction1,Loan Status,"fea_null,ZS,nor_null,nor_null,dup_null,out_null,RF",0.910828025,0.17040658,"(783, 35)",https
Bank Loan Defaulter Prediction2,Loan Status,"fea_null,ZS,nor_null,nor_null,dup_null,out_null,RF",0.923684211,0.419849157,"(1898, 35)",https
Bank Loan Defaulter Prediction3,Loan Status,"OE,ZS,nor_null,nor_null,dup_null,out_null,RF",0.917808219,0.614867687,"(3648, 35)",https
Bank Loan Defaulter Prediction4,Loan Status,"OE,ZS,nor_null,nor_null,dup_null,out_null,NB",0.930555556,0.033791542,"(360, 35)",https
Bank Loan Defaulter Prediction5,Loan Status,"LC,OE,ZS,nor_null,dup_null,out_null,NB",0.919421488,0.060494184,"(4838, 35)",https
Banking Dataset Classification1,y,"OE,out_null,nor_null,fea_null,dup_null,out_null,RF",0.957142857,0.083918095,"(346, 16)",https
Banking Dataset Classification2,y,"OE,IQR,ZS,fea_null,dup_null,out_null,LDA",0.938075379,0.059955597,"(3987, 16)",https
Banking Dataset Classification3,y,"OE,IQR,ZS,fea_null,dup_null,out_null,RF",0.936507937,0.119660854,"(1124, 16)",https
bodyPerformance1,class,"MR,enc_null,nor_null,out_null,dup_null,imp_null,RF",0.622641509,0.175078392,"(1058, 12)",https
bodyPerformance2,class,"BE,LOF,nor_null,out_null,dup_null,imp_null,RF",0.715163934,0.703485966,"(5128, 12)",https
bodyPerformance3,class,"MR,ZS,nor_null,out_null,dup_null,imp_null,LDA",0.612908962,0.024004221,"(188, 12)",https
Breast_Cancer1,Status,"OE,out_null,enc_null,dup_null,enc_null,imp_null,LDA",0.894302177,0.022808313,"(1952, 16)",https
Breast_Cancer2,Status,"OE,LOF,nor_null,out_null,dup_null,imp_null,RF",0.93081761,0.119819641,"(1041, 16)",https
Breast_Cancer3,Status,"OE,LOF,nor_null,out_null,dup_null,imp_null,RF",1.0,0.083788157,"(251, 16)",https
Car_Insurance_Claim1,OUTCOME,"MEAN,OE,IQR,ZS,dup_null,imp_null,RF",0.852941176,0.129513741,"(453, 19)",https
Car_Insurance_Claim2,OUTCOME,"MEAN,OE,IQR,out_null,dup_null,imp_null,LDA",0.840948231,0.03480649,"(1481, 19)",https
Car_Insurance_Claim3,OUTCOME,"MEAN,OE,MM,fea_null,dup_null,out_null,RF",0.841836735,0.174798727,"(1960, 19)",https
Car_Insurance_Claim4,OUTCOME,"MEAN,OE,IQR,ZS,dup_null,imp_null,RF",0.845896147,0.2503829,"(3315, 19)",https
Car_Insurance_Claim5,OUTCOME,"MEAN,OE,IQR,ZS,dup_null,imp_null,RF",0.832116788,0.131996155,"(753, 19)",https
CDR-Call-Details1,Churn,"imp_null,IQR,ZS,nor_null,dup_null,out_null,NB",0.942857143,0.020637751,"(280, 17)",https
CDR-Call-Details2,Churn,"AD,IQR,ZS,nor_null,dup_null,out_null,RF",0.913043478,2.209801197,"(1183, 17)",https
CDR-Call-Details3,Churn,"imp_null,IQR,ZS,nor_null,dup_null,out_null,RF",0.917333333,0.236565828,"(3173, 17)",https
Credit score1,Credit_Score,"MEDIAN,IQR,ZS,nor_null,dup_null,out_null,RF",0.8125,0.094896793,"(237, 28)",https
Credit score2,Credit_Score,"MEDIAN,IQR,ZS,nor_null,dup_null,out_null,RF",0.848101266,0.140179634,"(1150, 28)",https
